id,name,category,base_price
1,Product 1,Groceries,475.8500101408589
2,Product 2,Home,392.04859013365694
3,Product 3,Beauty,86.44913381679389
4,Product 4,Home,58.98770875082141
5,Product 5,Home,434.4263114297182
6,Product 6,Groceries,80.00474078175098
7,Product 7,Home,20.086402204943198
8,Product 8,Clothing,363.77939841074414
9,Product 9,Clothing,99.09423393147931
10,Product 10,Beauty,312.5659397175811
11,Product 11,Clothing,267.13065149979656
12,Product 12,Groceries,21.300588270293723
13,Product 13,Home,309.8079184139659
14,Product 14,Clothing,32.86617497467156
15,Product 15,Groceries,189.51730321390895
16,Product 16,Home,197.40637572090975
17,Product 17,Groceries,300.2831387424008
18,Product 18,Home,431.37079930079705
19,Product 19,Beauty,230.74463346507608
20,Product 20,Clothing,474.9539132541333
21,Product 21,Groceries,286.01122674431423
22,Product 22,Clothing,159.26074689495164
23,Product 23,Beauty,123.137974554853
24,Product 24,Groceries,225.67472193240465
25,Product 25,Groceries,252.6366859545224
26,Product 26,Home,455.5669970186032
27,Product 27,Groceries,99.29568301615055
28,Product 28,Groceries,162.73842728381138
29,Product 29,Clothing,288.17316063179584
30,Product 30,Beauty,485.0964676046337
31,Product 31,Clothing,230.37952535118518
32,Product 32,Clothing,448.4654017095479
33,Product 33,Groceries,32.16137156616365
34,Product 34,Beauty,200.45187194784617
35,Product 35,Clothing,274.4491448706491
36,Product 36,Clothing,482.97510055942763
37,Product 37,Groceries,275.92108074754174
38,Product 38,Electronics,155.17401779500037
39,Product 39,Beauty,46.5298154030877
40,Product 40,Electronics,388.39993695536214
41,Product 41,Groceries,153.80920561183868
42,Product 42,Home,107.43277800351453
43,Product 43,Home,397.18601486029075
44,Product 44,Home,46.281879349704276
45,Product 45,Clothing,66.77583916731356
46,Product 46,Electronics,315.41608214550337
47,Product 47,Clothing,56.750957080301546
48,Product 48,Beauty,367.5070273856514
49,Product 49,Home,285.0092786653736
50,Product 50,Home,68.60118050976783
51,Product 51,Home,382.78467382227973
52,Product 52,Clothing,125.63261067698832
53,Product 53,Home,266.1390863971771
54,Product 54,Clothing,22.455372104606642
55,Product 55,Beauty,108.84240914434413
56,Product 56,Electronics,164.03443072740006
57,Product 57,Groceries,454.7075722237856
58,Product 58,Beauty,274.52213473781984
59,Product 59,Beauty,122.111101090895
60,Product 60,Home,350.44461718945524
61,Product 61,Groceries,465.5518496478608
62,Product 62,Beauty,154.86050606047985
63,Product 63,Beauty,437.01568919198166
64,Product 64,Groceries,117.03581423624846
65,Product 65,Groceries,447.3539092600891
66,Product 66,Home,168.92906029258424
67,Product 67,Groceries,184.5859406577177
68,Product 68,Electronics,143.3448021984713
69,Product 69,Home,219.2828164268656
70,Product 70,Groceries,182.7587396037428
71,Product 71,Home,13.406543960283445
72,Product 72,Home,214.5313915429017
73,Product 73,Beauty,349.29365611623246
74,Product 74,Clothing,175.4314339877777
75,Product 75,Home,168.36943669017006
76,Product 76,Electronics,207.87972381844
77,Product 77,Electronics,134.4185528278289
78,Product 78,Groceries,133.37332495442843
79,Product 79,Clothing,359.0125890629766
80,Product 80,Beauty,149.57184224495913
81,Product 81,Electronics,140.72269699488965
82,Product 82,Clothing,256.3127213821421
83,Product 83,Beauty,179.08491153307466
84,Product 84,Electronics,127.38532642681649
85,Product 85,Clothing,270.15794582539684
86,Product 86,Clothing,492.9687225141943
87,Product 87,Groceries,49.61812990303047
88,Product 88,Home,128.65836975593868
89,Product 89,Beauty,319.82985699085395
90,Product 90,Home,410.05161787749813
91,Product 91,Electronics,83.85159654306044
92,Product 92,Home,101.39407009592857
93,Product 93,Beauty,430.59581435872275
94,Product 94,Groceries,342.00653730271836
95,Product 95,Home,358.46327089462875
96,Product 96,Home,180.8463337729474
97,Product 97,Groceries,470.85639959990596
98,Product 98,Clothing,420.4779518945907
99,Product 99,Home,177.12251201462666
100,Product 100,Electronics,112.4450941614797
