date,customer_id,product_id,product_name,category,price,quantity,total_amount,is_anomaly
2023-06-22,145,63,Product 63,Beauty,477.47,3,1432.4,False
2023-08-06,399,60,Product 60,Home,293.49,4,1173.96,False
2023-09-05,357,94,Product 94,Groceries,300.44,4,1201.75,False
2023-02-28,50,69,Product 69,Home,267.41,1,267.41,False
2023-07-16,228,41,Product 41,Groceries,146.21,3,438.62,False
2023-11-28,240,15,Product 15,Groceries,181.29,1,181.29,False
2023-07-08,261,49,Product 49,Home,256.96,3,770.89,False
2023-05-23,190,38,Product 38,Electronics,159.91,1,159.91,False
2023-03-10,397,58,Product 58,Beauty,353.04,2,706.07,False
2023-01-21,300,4,Product 4,Home,62.83,4,251.33,False
2023-05-24,357,30,Product 30,Beauty,562.08,4,2248.34,False
2023-12-16,246,81,Product 81,Electronics,147.69,2,295.39,False
2023-04-13,348,84,Product 84,Electronics,135.88,1,135.88,False
2023-09-19,220,15,Product 15,Groceries,144.86,4,579.46,False
2023-04-05,448,43,Product 43,Home,498.63,4,1994.54,False
2023-11-03,359,34,Product 34,Beauty,173.53,2,347.05,False
2023-12-03,18,22,Product 22,Clothing,159.71,4,638.84,False
2023-06-30,45,71,Product 71,Home,13.13,3,39.38,False
2023-02-13,205,77,Product 77,Electronics,160.07,2,320.15,False
2023-11-18,332,10,Product 10,Beauty,281.21,2,562.41,False
2023-04-17,488,11,Product 11,Clothing,332.27,1,332.27,False
2023-07-17,424,14,Product 14,Clothing,30.8,4,123.21,False
2023-03-28,154,36,Product 36,Clothing,524.51,1,524.51,False
2023-03-30,470,33,Product 33,Groceries,41.76,1,41.76,False
2023-09-05,323,66,Product 66,Home,145.54,3,436.63,False
2023-10-28,70,5,Product 5,Home,383.31,2,766.63,False
2023-07-26,211,35,Product 35,Clothing,240.83,1,240.83,False
2023-08-10,431,50,Product 50,Home,56.82,3,170.46,False
2023-11-18,142,99,Product 99,Home,174.72,3,524.17,False
2023-02-27,241,61,Product 61,Groceries,495.97,1,495.97,False
2023-07-07,251,12,Product 12,Groceries,19.67,3,59.0,False
2023-08-29,484,84,Product 84,Electronics,96.01,1,96.01,False
2023-08-16,485,59,Product 59,Beauty,103.66,3,310.97,False
2023-10-19,478,8,Product 8,Clothing,330.6,2,661.2,False
2023-12-26,454,91,Product 91,Electronics,78.31,2,156.62,False
2023-02-18,244,93,Product 93,Beauty,509.16,1,509.16,False
2023-07-24,408,35,Product 35,Clothing,240.49,1,240.49,False
2023-05-18,142,74,Product 74,Clothing,190.5,1,190.5,False
2023-10-24,227,11,Product 11,Clothing,230.64,4,922.58,False
2023-03-29,407,37,Product 37,Groceries,319.83,4,1279.31,False
2023-10-23,403,34,Product 34,Beauty,175.77,4,703.09,False
2023-03-18,12,16,Product 16,Home,220.19,4,880.74,False
2023-09-20,438,42,Product 42,Home,91.56,1,91.56,False
2023-02-06,407,84,Product 84,Electronics,145.9,2,291.8,False
2023-11-23,392,68,Product 68,Electronics,138.81,1,138.81,False
2023-06-06,104,62,Product 62,Beauty,170.16,3,510.49,False
2023-08-27,471,34,Product 34,Beauty,170.48,1,170.48,False
2023-12-26,440,68,Product 68,Electronics,146.03,4,584.11,False
2023-12-07,114,2,Product 2,Home,362.9,1,362.9,False
2023-01-13,390,57,Product 57,Groceries,468.03,1,468.03,False
2023-11-14,358,98,Product 98,Clothing,362.66,3,1087.99,False
2023-10-09,238,14,Product 14,Clothing,29.85,1,29.85,False
2023-07-14,126,54,Product 54,Clothing,19.92,3,59.76,False
2023-05-06,21,28,Product 28,Groceries,185.9,3,557.71,False
2023-06-20,236,1,Product 1,Groceries,440.37,1,440.37,False
2023-04-25,430,97,Product 97,Groceries,544.93,4,2179.71,False
2023-06-17,246,99,Product 99,Home,183.29,3,549.88,False
2023-07-08,140,2,Product 2,Home,369.17,1,369.17,False
2023-05-16,464,31,Product 31,Clothing,265.45,4,1061.79,False
2023-12-17,317,83,Product 83,Beauty,195.97,1,195.97,False
2023-12-25,202,51,Product 51,Home,36.58,1,36.58,True
2023-04-03,16,78,Product 78,Groceries,153.99,1,153.99,False
2023-09-26,440,89,Product 89,Beauty,253.13,3,759.39,False
2023-04-26,478,77,Product 77,Electronics,150.33,3,450.99,False
2023-04-28,459,92,Product 92,Home,114.84,2,229.68,False
2023-03-28,245,12,Product 12,Groceries,26.6,2,53.19,False
2023-12-05,392,71,Product 71,Home,14.54,4,58.14,False
2023-01-10,463,77,Product 77,Electronics,154.32,4,617.29,False
2023-03-01,19,12,Product 12,Groceries,27.86,3,83.57,False
2023-12-13,27,51,Product 51,Home,371.04,1,371.04,False
2023-12-23,241,52,Product 52,Clothing,136.93,1,136.93,False
2023-11-21,11,82,Product 82,Clothing,219.5,1,219.5,False
2023-06-24,79,3,Product 3,Beauty,83.39,3,250.16,False
2023-11-25,70,30,Product 30,Beauty,451.25,3,1353.75,False
2023-02-09,103,46,Product 46,Electronics,381.93,1,381.93,False
2023-12-22,94,75,Product 75,Home,162.49,2,324.98,False
2023-09-11,294,23,Product 23,Beauty,92.55,2,185.11,False
2023-10-17,426,17,Product 17,Groceries,237.97,4,951.87,False
2023-02-19,211,93,Product 93,Beauty,504.22,1,504.22,False
2023-07-26,11,53,Product 53,Home,243.15,2,486.3,False
2023-05-07,339,19,Product 19,Beauty,231.85,4,927.4,False
2023-01-08,320,97,Product 97,Groceries,481.95,2,963.9,False
2023-07-31,133,49,Product 49,Home,256.59,2,513.18,False
2023-05-18,73,37,Product 37,Groceries,314.95,1,314.95,False
2023-01-13,126,54,Product 54,Clothing,24.59,1,24.59,False
2023-07-08,90,61,Product 61,Groceries,440.03,1,440.03,False
2023-10-28,415,75,Product 75,Home,127.94,1,127.94,False
2023-03-17,33,21,Product 21,Groceries,338.7,1,338.7,False
2023-07-05,282,65,Product 65,Groceries,392.73,1,392.73,False
2023-06-24,348,82,Product 82,Clothing,264.8,4,1059.21,False
2023-01-30,292,54,Product 54,Clothing,24.61,3,73.82,False
2023-11-18,324,46,Product 46,Electronics,308.34,4,1233.37,False
2023-08-16,407,49,Product 49,Home,214.86,1,214.86,False
2023-09-20,448,3,Product 3,Beauty,70.99,3,212.96,False
2023-11-15,8,47,Product 47,Clothing,55.38,3,166.14,False
2023-08-19,147,60,Product 60,Home,274.6,4,1098.39,False
2023-01-11,4,95,Product 95,Home,433.55,2,867.09,False
2023-11-28,136,36,Product 36,Clothing,471.87,2,943.73,False
2023-03-04,444,61,Product 61,Groceries,524.32,4,2097.26,False
2023-01-21,410,97,Product 97,Groceries,558.56,4,2234.25,False
2023-02-16,337,47,Product 47,Clothing,71.16,4,284.62,False
2023-12-10,69,78,Product 78,Groceries,145.18,1,145.18,False
2023-07-31,268,85,Product 85,Clothing,246.22,1,246.22,False
2023-02-07,181,1,Product 1,Groceries,582.24,1,582.24,False
2023-07-24,232,62,Product 62,Beauty,150.81,1,150.81,False
2023-10-29,50,75,Product 75,Home,129.27,1,129.27,False
2023-08-09,42,72,Product 72,Home,186.42,2,372.83,False
2023-06-01,85,6,Product 6,Groceries,81.66,1,81.66,False
2023-08-07,260,85,Product 85,Clothing,206.13,2,412.26,False
2023-01-06,344,53,Product 53,Home,315.03,3,945.1,False
2023-07-11,239,57,Product 57,Groceries,419.43,4,1677.71,False
2023-08-16,224,87,Product 87,Groceries,38.86,3,116.58,False
2023-05-03,57,61,Product 61,Groceries,539.53,1,539.53,False
2023-02-13,457,31,Product 31,Clothing,258.06,1,258.06,False
2023-10-24,293,93,Product 93,Beauty,382.32,2,764.64,False
2023-06-06,61,86,Product 86,Clothing,449.11,4,1796.44,False
2023-08-16,10,21,Product 21,Groceries,226.88,2,453.76,False
2023-01-14,66,4,Product 4,Home,60.32,1,60.32,False
2023-09-22,462,89,Product 89,Beauty,277.54,3,832.62,False
2023-10-03,237,91,Product 91,Electronics,71.49,3,214.46,False
2023-10-08,317,97,Product 97,Groceries,354.81,2,709.63,False
2023-01-23,177,89,Product 89,Beauty,375.66,4,1502.64,False
2023-10-15,162,63,Product 63,Beauty,393.06,4,1572.25,False
2023-09-20,99,54,Product 54,Clothing,19.47,3,58.4,False
2023-11-18,326,7,Product 7,Home,18.83,3,56.5,False
2023-05-21,171,54,Product 54,Clothing,26.16,2,52.31,False
2023-12-03,41,19,Product 19,Beauty,239.83,3,719.48,False
2023-01-02,316,92,Product 92,Home,107.75,4,430.98,False
2023-11-25,469,73,Product 73,Beauty,323.33,3,969.99,False
2023-01-05,349,13,Product 13,Home,360.57,1,360.57,False
2023-06-24,327,48,Product 48,Beauty,403.52,4,1614.08,False
2023-11-16,183,82,Product 82,Clothing,234.38,4,937.51,False
2023-06-30,448,21,Product 21,Groceries,290.94,1,290.94,False
2023-08-10,97,45,Product 45,Clothing,55.15,4,220.58,False
2023-07-06,403,91,Product 91,Electronics,71.61,3,214.83,False
2023-07-17,117,42,Product 42,Home,98.34,1,98.34,False
2023-04-25,395,87,Product 87,Groceries,62.73,4,250.9,False
2023-03-26,16,11,Product 11,Clothing,340.61,2,681.21,False
2023-04-02,143,57,Product 57,Groceries,528.23,1,528.23,False
2023-12-27,184,62,Product 62,Beauty,150.67,4,602.69,False
2023-08-21,27,80,Product 80,Beauty,132.5,4,529.99,False
2023-07-06,148,49,Product 49,Home,235.68,3,707.03,False
2023-10-22,64,91,Product 91,Electronics,63.78,2,127.56,False
2023-03-31,136,43,Product 43,Home,456.07,1,456.07,False
2023-02-25,285,77,Product 77,Electronics,152.7,4,610.79,False
2023-11-07,401,63,Product 63,Beauty,392.92,1,392.92,False
2023-08-26,38,48,Product 48,Beauty,304.06,1,304.06,False
2023-10-30,370,46,Product 46,Electronics,235.26,3,705.77,False
2023-04-06,202,24,Product 24,Groceries,283.2,3,849.6,False
2023-09-14,220,24,Product 24,Groceries,183.14,2,366.28,False
2023-01-05,108,40,Product 40,Electronics,402.5,3,1207.51,False
2023-11-18,263,76,Product 76,Electronics,188.04,1,188.04,False
2023-02-04,251,98,Product 98,Clothing,476.63,3,1429.88,False
2023-09-04,274,41,Product 41,Groceries,131.29,1,131.29,False
2023-02-06,475,10,Product 10,Beauty,377.8,3,1133.39,False
2023-07-16,9,74,Product 74,Clothing,164.15,1,164.15,False
2023-04-04,359,86,Product 86,Clothing,612.17,3,1836.52,False
2023-04-08,39,18,Product 18,Home,459.8,2,919.6,False
2023-12-08,14,48,Product 48,Beauty,344.97,2,689.93,False
2023-07-30,297,91,Product 91,Electronics,76.13,1,76.13,False
2023-10-01,158,45,Product 45,Clothing,57.43,1,57.43,False
2023-11-09,54,64,Product 64,Groceries,113.6,1,113.6,False
2023-03-19,179,63,Product 63,Beauty,477.09,1,477.09,False
2023-04-23,19,67,Product 67,Groceries,199.0,1,199.0,False
2023-10-11,201,77,Product 77,Electronics,113.72,3,341.17,False
2023-02-01,178,10,Product 10,Beauty,386.07,2,772.13,False
2023-10-01,339,89,Product 89,Beauty,290.79,4,1163.16,False
2023-02-24,471,94,Product 94,Groceries,394.4,1,394.4,False
2023-04-20,115,66,Product 66,Home,183.5,2,367.0,False
2023-08-27,382,5,Product 5,Home,353.52,2,707.03,False
2023-07-16,377,26,Product 26,Home,384.16,2,768.32,False
2023-07-27,89,96,Product 96,Home,161.5,3,484.49,False
2023-06-07,81,87,Product 87,Groceries,48.57,2,97.13,False
2023-06-02,170,30,Product 30,Beauty,448.8,1,448.8,False
2023-03-09,48,54,Product 54,Clothing,25.24,1,25.24,False
2023-10-21,345,26,Product 26,Home,403.7,4,1614.81,False
2023-04-17,140,24,Product 24,Groceries,243.61,4,974.45,False
2023-01-11,389,68,Product 68,Electronics,157.4,1,157.4,False
2023-03-31,90,25,Product 25,Groceries,326.79,4,1307.14,False
2023-01-19,197,45,Product 45,Clothing,71.36,1,71.36,False
2023-05-24,483,87,Product 87,Groceries,53.51,2,107.01,False
2023-08-21,99,50,Product 50,Home,58.32,2,116.64,False
2023-12-08,476,51,Product 51,Home,372.74,2,745.48,False
2023-05-06,375,48,Product 48,Beauty,418.44,4,1673.76,False
2023-10-17,257,44,Product 44,Home,41.39,3,124.18,False
2023-09-22,211,81,Product 81,Electronics,115.7,3,347.11,False
2023-06-20,247,13,Product 13,Home,332.6,2,665.21,False
2023-08-20,456,47,Product 47,Clothing,45.13,2,90.26,False
2023-08-26,62,66,Product 66,Home,127.16,4,508.64,False
2023-11-15,423,62,Product 62,Beauty,151.25,1,151.25,False
2023-11-01,456,19,Product 19,Beauty,196.31,4,785.22,False
2023-03-28,101,91,Product 91,Electronics,105.54,4,422.18,False
2023-07-08,48,94,Product 94,Groceries,305.11,3,915.32,False
2023-09-22,2,75,Product 75,Home,140.4,1,140.4,False
2023-06-17,24,26,Product 26,Home,491.63,1,491.63,False
2023-06-09,302,26,Product 26,Home,426.18,3,1278.55,False
2023-03-27,489,39,Product 39,Beauty,59.07,2,118.15,False
2023-07-10,59,62,Product 62,Beauty,126.82,2,253.64,False
2023-07-30,158,94,Product 94,Groceries,325.49,1,325.49,False
2023-01-04,431,60,Product 60,Home,359.22,4,1436.88,False
2023-02-06,407,6,Product 6,Groceries,101.8,3,305.39,False
2023-05-14,188,87,Product 87,Groceries,58.14,1,58.14,False
2023-03-09,55,92,Product 92,Home,113.26,4,453.05,False
2023-05-27,23,17,Product 17,Groceries,321.24,1,321.24,False
2023-08-17,485,20,Product 20,Clothing,409.05,3,1227.15,False
2023-10-29,487,32,Product 32,Clothing,368.94,1,368.94,False
2023-10-06,462,12,Product 12,Groceries,16.78,3,50.33,False
2023-10-27,224,12,Product 12,Groceries,18.37,1,18.37,False
2023-02-05,308,75,Product 75,Home,179.29,3,537.86,False
2023-07-14,274,13,Product 13,Home,265.77,1,265.77,False
2023-01-12,164,91,Product 91,Electronics,98.2,2,196.4,False
2023-09-29,333,22,Product 22,Clothing,137.93,3,413.78,False
2023-07-23,161,96,Product 96,Home,162.75,1,162.75,False
2023-07-05,422,88,Product 88,Home,117.97,3,353.9,False
2023-05-12,403,63,Product 63,Beauty,512.84,1,512.84,False
2023-11-16,183,97,Product 97,Groceries,439.25,4,1757.0,False
2023-05-12,479,54,Product 54,Clothing,23.32,3,69.96,False
2023-08-28,384,21,Product 21,Groceries,216.74,2,433.47,False
2023-11-14,165,22,Product 22,Clothing,147.33,3,441.98,False
2023-04-11,49,30,Product 30,Beauty,600.99,1,600.99,False
2023-12-21,40,86,Product 86,Clothing,469.56,1,469.56,False
2023-10-27,449,57,Product 57,Groceries,363.42,2,726.83,False
2023-07-18,165,18,Product 18,Home,370.46,1,370.46,False
2023-03-05,260,19,Product 19,Beauty,257.53,2,515.06,False
2023-07-11,394,82,Product 82,Clothing,236.18,2,472.36,False
2023-01-19,125,17,Product 17,Groceries,345.49,2,690.98,False
2023-07-09,384,97,Product 97,Groceries,444.69,1,444.69,False
2023-11-01,177,21,Product 21,Groceries,250.13,3,750.39,False
2023-01-02,498,67,Product 67,Groceries,200.54,1,200.54,False
2023-08-02,175,70,Product 70,Groceries,139.3,1,139.3,False
2023-07-05,420,36,Product 36,Clothing,436.02,4,1744.09,False
